0,nlh,server,edx.course.enrollment.activated,"zh-TW,zh;q=0.9,en-US;q=0.8,en;q=0.7,zh-CN;q=0.6",2019-09-06T01:17:32.733738+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36",,courses.openedu.tw,388a0c38f9f65daeadf5ed5d048ba533,https://courses.openedu.tw/account/finish_auth?course_id=course-v1%3AFCUx+QA+19004&enrollment_action=enroll&next=%2Fdashboard,"{'user_id': 27, 'org_id': 'FCUx', 'course_id': 'course-v1:FCUx+QA+19004', 'path': '/api/commerce/v0/baskets/'}",140.134.24.124,"{'course_id': 'course-v1:FCUx+QA+19004', 'user_id': 27, 'mode': 'audit'}",edx.course.enrollment.activated
1,nlh,server,,"zh-TW,zh;q=0.9,en-US;q=0.8,en;q=0.7,zh-CN;q=0.6",2019-09-06T01:17:55.012694+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36",,courses.openedu.tw,,https://courses.openedu.tw/dashboard,"{'course_user_tags': {}, 'user_id': 27, 'org_id': 'FCUx', 'course_id': 'course-v1:FCUx+QA+19004', 'path': '/courses/course-v1:FCUx+QA+19004/course/'}",140.134.24.124,"{""POST"": {}, ""GET"": {}}",/courses/course-v1:FCUx+QA+19004/course/
2,nlh,browser,edx.bi.course.upgrade.sidebarupsell.displayed,"zh-TW,zh;q=0.9,en-US;q=0.8,en;q=0.7,zh-CN;q=0.6",2019-09-06T01:17:56.318118+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36",https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/course/,courses.openedu.tw,388a0c38f9f65daeadf5ed5d048ba533,https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/course/,"{'user_id': 27, 'org_id': 'FCUx', 'course_id': 'course-v1:FCUx+QA+19004', 'path': '/event'}",140.134.24.124,"{""courseRunKey"": ""course-v1:FCUx+QA+19004""}",edx.bi.course.upgrade.sidebarupsell.displayed
3,nlh,server,,"zh-TW,zh;q=0.9,en-US;q=0.8,en;q=0.7,zh-CN;q=0.6",2019-09-06T01:19:03.277994+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36",,courses.openedu.tw,,https://courses.openedu.tw/dashboard,"{'course_user_tags': {}, 'user_id': 27, 'org_id': 'FCUx', 'course_id': 'course-v1:FCUx+QA+19004', 'path': '/courses/course-v1:FCUx+QA+19004/course/'}",140.134.24.124,"{""POST"": {}, ""GET"": {}}",/courses/course-v1:FCUx+QA+19004/course/
4,nlh,browser,edx.bi.course.upgrade.sidebarupsell.displayed,"zh-TW,zh;q=0.9,en-US;q=0.8,en;q=0.7,zh-CN;q=0.6",2019-09-06T01:19:04.771460+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36",https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/course/,courses.openedu.tw,388a0c38f9f65daeadf5ed5d048ba533,https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/course/,"{'user_id': 27, 'org_id': 'FCUx', 'course_id': 'course-v1:FCUx+QA+19004', 'path': '/event'}",140.134.24.124,"{""courseRunKey"": ""course-v1:FCUx+QA+19004""}",edx.bi.course.upgrade.sidebarupsell.displayed
5,nlh,server,,"zh-TW,zh;q=0.9,en-US;q=0.8,en;q=0.7,zh-CN;q=0.6",2019-09-06T01:19:09.610772+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36",,courses.openedu.tw,,https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/course/,"{'course_user_tags': {}, 'user_id': 27, 'org_id': 'FCUx', 'course_id': 'course-v1:FCUx+QA+19004', 'path': '/courses/course-v1:FCUx+QA+19004/jump_to/block-v1:FCUx+QA+19004+type@vertical+block@5318d13bb9dd4c0bb719dc3a6ac61919'}",140.134.24.124,"{""POST"": {}, ""GET"": {}}",/courses/course-v1:FCUx+QA+19004/jump_to/block-v1:FCUx+QA+19004+type@vertical+block@5318d13bb9dd4c0bb719dc3a6ac61919
6,nlh,browser,edx.ui.lms.link_clicked,"zh-TW,zh;q=0.9,en-US;q=0.8,en;q=0.7,zh-CN;q=0.6",2019-09-06T01:19:09.631009+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36",https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/course/,courses.openedu.tw,388a0c38f9f65daeadf5ed5d048ba533,https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/course/,"{'user_id': 27, 'org_id': 'FCUx', 'course_id': 'course-v1:FCUx+QA+19004', 'path': '/event'}",140.134.24.124,"{""target_url"": ""https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/jump_to/block-v1:FCUx+QA+19004+type@vertical+block@5318d13bb9dd4c0bb719dc3a6ac61919"", ""current_url"": ""https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/course/""}",edx.ui.lms.link_clicked
7,nlh,server,,"zh-TW,zh;q=0.9,en-US;q=0.8,en;q=0.7,zh-CN;q=0.6",2019-09-06T01:19:09.739570+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36",,courses.openedu.tw,,https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/course/,"{'course_user_tags': {}, 'user_id': 27, 'org_id': 'FCUx', 'course_id': 'course-v1:FCUx+QA+19004', 'path': '/courses/course-v1:FCUx+QA+19004/courseware/a9fd728478ac4ef2a3d9035ba1de10c2/1f38c16b956845b18d68d54ef2bdbe27/1'}",140.134.24.124,"{""POST"": {}, ""GET"": {""activate_block_id"": [""block-v1:FCUx+QA+19004+type@vertical+block@5318d13bb9dd4c0bb719dc3a6ac61919""]}}",/courses/course-v1:FCUx+QA+19004/courseware/a9fd728478ac4ef2a3d9035ba1de10c2/1f38c16b956845b18d68d54ef2bdbe27/1
8,nlh,server,,"zh-TW,zh;q=0.9,en-US;q=0.8,en;q=0.7,zh-CN;q=0.6",2019-09-06T01:19:16.697695+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36",,courses.openedu.tw,,https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/courseware/a9fd728478ac4ef2a3d9035ba1de10c2/1f38c16b956845b18d68d54ef2bdbe27/1?activate_block_id=block-v1%3AFCUx%2BQA%2B19004%2Btype%40vertical%2Bblock%405318d13bb9dd4c0bb719dc3a6ac61919,"{'course_user_tags': {}, 'user_id': 27, 'org_id': 'FCUx', 'course_id': 'course-v1:FCUx+QA+19004', 'path': '/courses/course-v1:FCUx+QA+19004/xblock/block-v1:FCUx+QA+19004+type@html+block@0abefe1c7b5047d9bbf4a9ff20deac32/handler/publish_completion'}",140.134.24.124,"{""POST"": {""{\""completion\"":1}"": [""""]}, ""GET"": {}}",/courses/course-v1:FCUx+QA+19004/xblock/block-v1:FCUx+QA+19004+type@html+block@0abefe1c7b5047d9bbf4a9ff20deac32/handler/publish_completion
9,nlh,browser,edx.ui.lms.sequence.next_selected,"zh-TW,zh;q=0.9,en-US;q=0.8,en;q=0.7,zh-CN;q=0.6",2019-09-06T01:19:17.187565+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36",https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/courseware/a9fd728478ac4ef2a3d9035ba1de10c2/1f38c16b956845b18d68d54ef2bdbe27/1?activate_block_id=block-v1%3AFCUx%2BQA%2B19004%2Btype%40vertical%2Bblock%405318d13bb9dd4c0bb719dc3a6ac61919,courses.openedu.tw,388a0c38f9f65daeadf5ed5d048ba533,https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/courseware/a9fd728478ac4ef2a3d9035ba1de10c2/1f38c16b956845b18d68d54ef2bdbe27/1?activate_block_id=block-v1%3AFCUx%2BQA%2B19004%2Btype%40vertical%2Bblock%405318d13bb9dd4c0bb719dc3a6ac61919,"{'user_id': 27, 'org_id': 'FCUx', 'course_id': 'course-v1:FCUx+QA+19004', 'path': '/event'}",140.134.24.124,"{""tab_count"": 1, ""widget_placement"": ""bottom"", ""current_tab"": 1, ""id"": ""block-v1:FCUx+QA+19004+type@sequential+block@1f38c16b956845b18d68d54ef2bdbe27""}",edx.ui.lms.sequence.next_selected
